entry,at,order
"-- ending hand #566 --",2021-12-26T08:31:22.497Z,164050748249702
"""path_connected @ qTbML-xxiE"" collected 12 from pot",2021-12-26T08:31:22.497Z,164050748249701
"Uncalled bet of 8 returned to ""path_connected @ qTbML-xxiE""",2021-12-26T08:31:22.497Z,164050748249700
"""noland @ geTwanWsV_"" folds",2021-12-26T08:31:21.620Z,164050748162000
"""path_connected @ qTbML-xxiE"" bets 8",2021-12-26T08:31:19.274Z,164050747927400
"""noland @ geTwanWsV_"" checks",2021-12-26T08:31:14.647Z,164050747464700
"Flop:  [8♠, 7♥, 4♣]",2021-12-26T08:31:12.967Z,164050747296700
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T08:31:12.133Z,164050747213300
"""noland @ geTwanWsV_"" calls 5",2021-12-26T08:31:11.201Z,164050747120100
"""path_connected @ qTbML-xxiE"" raises to 5",2021-12-26T08:31:08.907Z,164050746890700
"""dagmlar @ GQEWTYNCmH"" folds",2021-12-26T08:31:06.345Z,164050746634500
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T08:31:05.477Z,164050746547700
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T08:31:04.527Z,164050746452700
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T08:31:01.371Z,164050746137100
"""thecow808 @ uTl-xcNY0V"" folds",2021-12-26T08:31:00.335Z,164050746033500
"""how @ v1kEn2eTHk"" folds",2021-12-26T08:30:59.078Z,164050745907800
"""mangarino @ UBRS2d0ZyT"" posts a big blind of 2",2021-12-26T08:30:57.476Z,164050745747612
"""noland @ geTwanWsV_"" posts a small blind of 1",2021-12-26T08:30:57.476Z,164050745747611
"Your hand is A♣, 2♦",2021-12-26T08:30:57.476Z,164050745747607
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (107) | #2 ""dagmlar @ GQEWTYNCmH"" (259) | #3 ""path_connected @ qTbML-xxiE"" (300) | #4 ""noland @ geTwanWsV_"" (380) | #5 ""mangarino @ UBRS2d0ZyT"" (165) | #6 ""how @ v1kEn2eTHk"" (349) | #7 ""thecow808 @ uTl-xcNY0V"" (1427) | #9 ""mikehaze @ WQjt0Mpf2J"" (249) | #10 ""home game hero @ dgEP-4bywu"" (1646)",2021-12-26T08:30:57.476Z,164050745747601
"-- starting hand #566  (No Limit Texas Hold'em) (dealer: ""path_connected @ qTbML-xxiE"") --",2021-12-26T08:30:57.476Z,164050745747600
"-- ending hand #565 --",2021-12-26T08:30:54.474Z,164050745447403
"""noland @ geTwanWsV_"" shows a 8♦, Q♣.",2021-12-26T08:30:54.474Z,164050745447402
"""mangarino @ UBRS2d0ZyT"" collected 45 from pot with Pair, A's (combination: A♠, A♥, 9♠, 8♥, 6♠)",2021-12-26T08:30:54.474Z,164050745447401
"""mangarino @ UBRS2d0ZyT"" shows a A♠, A♥.",2021-12-26T08:30:54.474Z,164050745447400
"""mangarino @ UBRS2d0ZyT"" calls 10",2021-12-26T08:30:53.636Z,164050745363600
"""noland @ geTwanWsV_"" bets 10",2021-12-26T08:30:48.750Z,164050744875000
"River: 8♥, 9♠, 6♠, 4♣ [2♦]",2021-12-26T08:30:42.867Z,164050744286700
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T08:30:42.032Z,164050744203200
"""mangarino @ UBRS2d0ZyT"" calls 6",2021-12-26T08:30:40.800Z,164050744080000
"""noland @ geTwanWsV_"" bets 6",2021-12-26T08:30:36.701Z,164050743670100
"Turn: 8♥, 9♠, 6♠ [4♣]",2021-12-26T08:30:33.116Z,164050743311600
"""mikehaze @ WQjt0Mpf2J"" checks",2021-12-26T08:30:32.263Z,164050743226300
"""mangarino @ UBRS2d0ZyT"" checks",2021-12-26T08:30:25.172Z,164050742517200
"""noland @ geTwanWsV_"" checks",2021-12-26T08:30:19.990Z,164050741999000
"Flop:  [8♥, 9♠, 6♠]",2021-12-26T08:30:18.412Z,164050741841200
"""noland @ geTwanWsV_"" calls 4",2021-12-26T08:30:17.525Z,164050741752500
"""path_connected @ qTbML-xxiE"" folds",2021-12-26T08:30:15.140Z,164050741514000
"""dagmlar @ GQEWTYNCmH"" folds",2021-12-26T08:30:13.480Z,164050741348000
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T08:30:12.591Z,164050741259100
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T08:29:53.482Z,164050739348200
"""mikehaze @ WQjt0Mpf2J"" calls 4",2021-12-26T08:29:52.536Z,164050739253600
"""thecow808 @ uTl-xcNY0V"" folds",2021-12-26T08:29:40.322Z,164050738032200
"""how @ v1kEn2eTHk"" folds",2021-12-26T08:29:38.946Z,164050737894600
"""mangarino @ UBRS2d0ZyT"" raises to 4",2021-12-26T08:29:36.216Z,164050737621600
"""noland @ geTwanWsV_"" posts a big blind of 2",2021-12-26T08:29:31.380Z,164050737138012
"""path_connected @ qTbML-xxiE"" posts a small blind of 1",2021-12-26T08:29:31.380Z,164050737138011
"Your hand is J♦, 6♦",2021-12-26T08:29:31.380Z,164050737138007
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (107) | #2 ""dagmlar @ GQEWTYNCmH"" (259) | #3 ""path_connected @ qTbML-xxiE"" (301) | #4 ""noland @ geTwanWsV_"" (400) | #5 ""mangarino @ UBRS2d0ZyT"" (140) | #6 ""how @ v1kEn2eTHk"" (349) | #7 ""thecow808 @ uTl-xcNY0V"" (1427) | #9 ""mikehaze @ WQjt0Mpf2J"" (253) | #10 ""home game hero @ dgEP-4bywu"" (1646)",2021-12-26T08:29:31.380Z,164050737138001
"-- starting hand #565  (No Limit Texas Hold'em) (dealer: ""dagmlar @ GQEWTYNCmH"") --",2021-12-26T08:29:31.380Z,164050737138000
"-- ending hand #564 --",2021-12-26T08:29:28.376Z,164050736837602
"""path_connected @ qTbML-xxiE"" collected 2 from pot",2021-12-26T08:29:28.376Z,164050736837601
"Uncalled bet of 1 returned to ""path_connected @ qTbML-xxiE""",2021-12-26T08:29:28.376Z,164050736837600
"""dagmlar @ GQEWTYNCmH"" folds",2021-12-26T08:29:27.546Z,164050736754600
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T08:29:26.577Z,164050736657700
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T08:29:25.664Z,164050736566400
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T08:29:24.733Z,164050736473300
"""thecow808 @ uTl-xcNY0V"" folds",2021-12-26T08:29:23.190Z,164050736319000
"""how @ v1kEn2eTHk"" folds",2021-12-26T08:29:22.132Z,164050736213200
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T08:29:19.712Z,164050735971200
"""noland @ geTwanWsV_"" folds",2021-12-26T08:29:18.767Z,164050735876700
"""path_connected @ qTbML-xxiE"" posts a big blind of 2",2021-12-26T08:29:17.271Z,164050735727112
"""dagmlar @ GQEWTYNCmH"" posts a small blind of 1",2021-12-26T08:29:17.271Z,164050735727111
"Your hand is 4♣, Q♦",2021-12-26T08:29:17.271Z,164050735727107
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (107) | #2 ""dagmlar @ GQEWTYNCmH"" (260) | #3 ""path_connected @ qTbML-xxiE"" (300) | #4 ""noland @ geTwanWsV_"" (400) | #5 ""mangarino @ UBRS2d0ZyT"" (140) | #6 ""how @ v1kEn2eTHk"" (349) | #7 ""thecow808 @ uTl-xcNY0V"" (1427) | #9 ""mikehaze @ WQjt0Mpf2J"" (253) | #10 ""home game hero @ dgEP-4bywu"" (1646)",2021-12-26T08:29:17.271Z,164050735727101
"-- starting hand #564  (No Limit Texas Hold'em) (dealer: ""isaacwu @ Mhf_KbfDe4"") --",2021-12-26T08:29:17.271Z,164050735727100
"-- ending hand #563 --",2021-12-26T08:29:14.270Z,164050735427002
"""thecow808 @ uTl-xcNY0V"" collected 21 from pot",2021-12-26T08:29:14.270Z,164050735427001
"Uncalled bet of 10 returned to ""thecow808 @ uTl-xcNY0V""",2021-12-26T08:29:14.270Z,164050735427000
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T08:29:13.363Z,164050735336300
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T08:29:12.426Z,164050735242600
"""thecow808 @ uTl-xcNY0V"" bets 10",2021-12-26T08:29:08.476Z,164050734847600
"Flop:  [J♥, 5♦, Q♠]",2021-12-26T08:29:04.062Z,164050734406200
"""dagmlar @ GQEWTYNCmH"" folds",2021-12-26T08:29:03.234Z,164050734323400
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T08:28:06.804Z,164050728680400
"""home game hero @ dgEP-4bywu"" calls 6",2021-12-26T08:28:01.686Z,164050728168600
"""mikehaze @ WQjt0Mpf2J"" calls 6",2021-12-26T08:27:58.330Z,164050727833000
"""thecow808 @ uTl-xcNY0V"" raises to 6",2021-12-26T08:27:50.008Z,164050727000800
"""how @ v1kEn2eTHk"" folds",2021-12-26T08:27:46.243Z,164050726624300
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T08:27:45.321Z,164050726532100
"""noland @ geTwanWsV_"" folds",2021-12-26T08:27:44.460Z,164050726446000
"""path_connected @ qTbML-xxiE"" folds",2021-12-26T08:27:41.204Z,164050726120400
"""dagmlar @ GQEWTYNCmH"" posts a big blind of 2",2021-12-26T08:27:39.282Z,164050725928213
"""isaacwu @ Mhf_KbfDe4"" posts a small blind of 1",2021-12-26T08:27:39.282Z,164050725928212
"Your hand is 7♦, J♣",2021-12-26T08:27:39.282Z,164050725928208
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (108) | #2 ""dagmlar @ GQEWTYNCmH"" (262) | #3 ""path_connected @ qTbML-xxiE"" (300) | #4 ""noland @ geTwanWsV_"" (400) | #5 ""mangarino @ UBRS2d0ZyT"" (140) | #6 ""how @ v1kEn2eTHk"" (349) | #7 ""thecow808 @ uTl-xcNY0V"" (1412) | #9 ""mikehaze @ WQjt0Mpf2J"" (259) | #10 ""home game hero @ dgEP-4bywu"" (1652)",2021-12-26T08:27:39.282Z,164050725928202
"-- starting hand #563  (No Limit Texas Hold'em) (dealer: ""home game hero @ dgEP-4bywu"") --",2021-12-26T08:27:39.282Z,164050725928201
"The player ""noland @ geTwanWsV_"" joined the game with a stack of 400.",2021-12-26T08:27:39.282Z,164050725928200
"-- ending hand #562 --",2021-12-26T08:27:36.283Z,164050725628302
"""how @ v1kEn2eTHk"" collected 17 from pot",2021-12-26T08:27:36.283Z,164050725628301
"Uncalled bet of 10 returned to ""how @ v1kEn2eTHk""",2021-12-26T08:27:36.283Z,164050725628300
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T08:27:35.397Z,164050725539700
"The admin approved the player ""noland @ geTwanWsV_"" participation with a stack of 400.",2021-12-26T08:27:30.612Z,164050725061200
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T08:27:28.658Z,164050724865800
"""how @ v1kEn2eTHk"" bets 10",2021-12-26T08:27:27.119Z,164050724711900
"The player ""noland @ geTwanWsV_"" requested a seat.",2021-12-26T08:27:24.491Z,164050724449100
"""mangarino @ UBRS2d0ZyT"" checks",2021-12-26T08:27:24.009Z,164050724400900
"""home game hero @ dgEP-4bywu"" checks",2021-12-26T08:27:20.614Z,164050724061400
"Flop:  [10♥, 8♣, K♥]",2021-12-26T08:27:18.877Z,164050723887700
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T08:27:18.073Z,164050723807300
"""home game hero @ dgEP-4bywu"" calls 5",2021-12-26T08:27:17.102Z,164050723710200
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T08:27:13.925Z,164050723392500
"""thecow808 @ uTl-xcNY0V"" folds",2021-12-26T08:27:12.766Z,164050723276600
"""how @ v1kEn2eTHk"" calls 5",2021-12-26T08:27:11.613Z,164050723161300
"""mangarino @ UBRS2d0ZyT"" raises to 5",2021-12-26T08:27:10.437Z,164050723043700
"""path_connected @ qTbML-xxiE"" folds",2021-12-26T08:26:57.309Z,164050721730900
"""dagmlar @ GQEWTYNCmH"" folds",2021-12-26T08:26:56.352Z,164050721635200
"""isaacwu @ Mhf_KbfDe4"" posts a big blind of 2",2021-12-26T08:26:51.747Z,164050721174711
"""home game hero @ dgEP-4bywu"" posts a small blind of 1",2021-12-26T08:26:51.747Z,164050721174710
"Your hand is 5♥, 4♥",2021-12-26T08:26:51.747Z,164050721174706
